SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Instruction,3388137.24,5590.99
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Instructional Support,13957.19,23.03
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Maintenance and Operations,83664.69,138.06
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Media,84901.48,140.1
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Pupil Services,197663.93,326.18
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,School Administration,292010.18,481.86
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,618,Butts County,108,Stark Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,General Administration,935700.64,229.85
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Instruction,18908714.05,4644.73
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Instructional Support,1434788.42,352.44
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,2665371.9,654.72
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Media,304924.62,74.9
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Pupil Services,853133.06,209.56
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,8461.87,2.08
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,School Administration,1554281.15,381.79
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,School food Services,36108.39,8.87
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Expenditures,Transportation,819751.77,201.36
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Revenues,Federal,119648.85,29.39
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Revenues,Local,13605183.99,3341.98
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Revenues,Other,790.8,0.19
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Revenues,State Other,229089.75,56.27
2015-16,765,Calhoun City,ALL,All Column Values,K-12 Revenues,State QBE,18023236,4427.23
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Instruction,4278193.11,4282.48
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Instructional Support,118463.8,118.58
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Maintenance and Operations,366780.03,367.15
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Media,96733.98,96.83
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Pupil Services,137714.44,137.85
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,School Administration,277441.51,277.72
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,765,Calhoun City,405,Calhoun Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Debt Services,0,0
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,General Administration,0,0
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Instruction,5152052.46,4679.43
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Instructional Support,292561.86,265.72
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Maintenance and Operations,977343.71,887.69
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Media,62395.32,56.67
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Pupil Services,315742.49,286.78
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,School Administration,497844.49,452.17
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,School food Services,0,0
2015-16,765,Calhoun City,3050,Calhoun High School,K-12 Expenditures,Transportation,0,0
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,General Administration,0,0
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Instruction,4388160.8,4523.88
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Instructional Support,70760.77,72.95
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Maintenance and Operations,142718.96,147.13
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Media,69681.25,71.84
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Pupil Services,72308.94,74.55
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,School Administration,353625.56,364.56
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,School food Services,0,0
2015-16,765,Calhoun City,205,Calhoun Middle School,K-12 Expenditures,Transportation,0,0
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Debt Services,0,0
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,General Administration,0,0
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Instruction,5058617.71,5269.39
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Instructional Support,114350.96,119.12
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Maintenance and Operations,320789.95,334.16
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Media,76114.07,79.29
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Pupil Services,79060.21,82.35
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,School Administration,425369.59,443.09
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,School food Services,0,0
2015-16,765,Calhoun City,305,Calhoun Primary School,K-12 Expenditures,Transportation,0,0
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,General Administration,951113.06,1495.46
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Instruction,3120759.51,4906.85
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Instructional Support,101606.81,159.76
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,728819.31,1145.94
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Media,230588.05,362.56
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Pupil Services,160508.25,252.37
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,School Administration,740224.9,1163.88
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,School food Services,3461.31,5.44
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Expenditures,Transportation,425270.97,668.67
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Revenues,Federal,0,0
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Revenues,Local,2594483.76,4079.38
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Revenues,Other,0,0
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Revenues,State Other,162625.85,255.7
2015-16,619,Calhoun County,ALL,All Column Values,K-12 Revenues,State QBE,4081115,6416.85
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Instruction,1606122.55,5407.82
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Instructional Support,4979.27,16.77
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Maintenance and Operations,3338.22,11.24
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Media,104335.89,351.3
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Pupil Services,20573.52,69.27
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,School Administration,331765.85,1117.06
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,619,Calhoun County,179,Calhoun County Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Debt Services,0,0
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,General Administration,0,0
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Instruction,737659.46,3688.3
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Instructional Support,11542.36,57.71
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Maintenance and Operations,1358.67,6.79
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Media,48445.52,242.23
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Pupil Services,115100.66,575.5
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,School Administration,205368.43,1026.84
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,School food Services,0,0
2015-16,619,Calhoun County,113,Calhoun County High School,K-12 Expenditures,Transportation,0,0
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,General Administration,0,0
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Instruction,776977.5,5841.94
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Instructional Support,1594.41,11.99
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Maintenance and Operations,685.24,5.15
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Media,73506.64,552.68
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Pupil Services,21232.07,159.64
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,School Administration,197438.98,1484.5
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,School food Services,0,0
2015-16,619,Calhoun County,213,Calhoun County Middle School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,General Administration,1030035.9,117.09
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Instruction,47019342.29,5344.93
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Instructional Support,2097694.11,238.46
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,5523455.98,627.88
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Media,1485257.68,168.84
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Pupil Services,3064796.15,348.39
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,School Administration,5349087.94,608.06
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,School food Services,18370.4,2.09
2015-16,620,Camden County,ALL,All Column Values,K-12 Expenditures,Transportation,3077399.54,349.82
2015-16,620,Camden County,ALL,All Column Values,K-12 Revenues,Federal,5859439.88,666.07
2015-16,620,Camden County,ALL,All Column Values,K-12 Revenues,Local,21848498.77,2483.63
2015-16,620,Camden County,ALL,All Column Values,K-12 Revenues,Other,0,0
2015-16,620,Camden County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,620,Camden County,ALL,All Column Values,K-12 Revenues,State Other,579314.01,65.85
2015-16,620,Camden County,ALL,All Column Values,K-12 Revenues,State QBE,43418784,4935.64
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Instruction,14063514.74,5719.2
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Instructional Support,321682.78,130.82
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Maintenance and Operations,1138482.23,462.99
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Media,303501.06,123.42
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Pupil Services,958651.75,389.85
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,School Administration,1443177.13,586.9
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,295,Camden County High School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Instruction,5516038.73,5494.06
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Instructional Support,92683.34,92.31
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Maintenance and Operations,383850.59,382.32
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Media,117602.21,117.13
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Pupil Services,188901.58,188.15
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,School Administration,560171.16,557.94
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,182,Camden Middle School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Instruction,2453407.61,4782.47
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Instructional Support,30060.75,58.6
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Maintenance and Operations,185234.56,361.08
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Media,107272.49,209.11
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Pupil Services,74339.56,144.91
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,School Administration,272943.28,532.05
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,187,Crooked River Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Instruction,2262436.43,4918.34
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Instructional Support,52301.98,113.7
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Maintenance and Operations,194057.76,421.86
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Media,97135.15,211.16
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Pupil Services,50023.77,108.75
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,School Administration,304861.77,662.74
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,195,David L Rainer Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Instruction,2081486.38,6068.47
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Instructional Support,2740.65,7.99
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Maintenance and Operations,210375.92,613.34
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Media,106006.17,309.06
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Pupil Services,58825.03,171.5
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,School Administration,330491.89,963.53
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,193,Kingsland Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Instruction,2800583.16,5786.33
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Instructional Support,6428.52,13.28
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Maintenance and Operations,161125.48,332.9
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Media,119384.61,246.66
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Pupil Services,53490.2,110.52
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,School Administration,308823.77,638.07
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,100,Mamie Lou Gross Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Instruction,2709786.52,5610.32
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Instructional Support,36643.98,75.87
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Maintenance and Operations,229221.62,474.58
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Media,108447.4,224.53
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Pupil Services,56125.48,116.2
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,School Administration,313613.22,649.3
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,495,Mary Lee Clark Elementary School,K-12 Expenditures,Transportation,1247.04,2.58
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Instruction,2500030.78,4672.95
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Instructional Support,70566.76,131.9
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Maintenance and Operations,206346.67,385.69
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Media,104153.24,194.68
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Pupil Services,251334.63,469.78
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,School Administration,285256.41,533.19
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,189,Matilda Harris Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Instruction,3085560.28,4992.82
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Instructional Support,52530.18,85
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Maintenance and Operations,279720.23,452.62
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Media,108954.87,176.3
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Pupil Services,75467.92,122.12
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,School Administration,321898.19,520.87
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,110,Saint Marys Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Instruction,4718441.97,4940.78
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Instructional Support,102379.67,107.2
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Maintenance and Operations,417596.87,437.27
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Media,120353.84,126.02
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Pupil Services,109730.59,114.9
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,School Administration,609346.16,638.06
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,105,Saint Marys Middle School,K-12 Expenditures,Transportation,4232.91,4.43
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Instruction,2823360.02,5931.43
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Instructional Support,4420.9,9.29
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Maintenance and Operations,165400.63,347.48
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Media,103788.83,218.04
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Pupil Services,77954.07,163.77
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,School Administration,294072.06,617.8
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,197,Sugarmill Elementary,K-12 Expenditures,Transportation,0,0
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Instruction,2004695.67,5447.54
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Instructional Support,22011.22,59.81
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Maintenance and Operations,179229.27,487.04
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Media,88657.81,240.92
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Pupil Services,65095.2,176.89
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,School Administration,299894.78,814.93
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,620,Camden County,192,Woodbine Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,General Administration,594482.33,291.7
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Instruction,10365945.85,5086.33
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Instructional Support,483986.35,237.48
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1090308.68,534.99
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Media,260232.15,127.69
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Pupil Services,443257.27,217.5
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,School Administration,1138675.26,558.72
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,School food Services,18370.4,9.01
2015-16,621,Candler County,ALL,All Column Values,K-12 Expenditures,Transportation,759333.93,372.59
2015-16,621,Candler County,ALL,All Column Values,K-12 Revenues,Federal,25000,12.27
2015-16,621,Candler County,ALL,All Column Values,K-12 Revenues,Local,3407988.39,1672.22
2015-16,621,Candler County,ALL,All Column Values,K-12 Revenues,Other,0,0
2015-16,621,Candler County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,621,Candler County,ALL,All Column Values,K-12 Revenues,State Other,271366.61,133.15
