Agency ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2017-18,"Total Students, All Grades (Excludes AE) [Public School] 2017-18",Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19
1302280,CONLEY HILLS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,624,624,272,0,624,483,NA,130228000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Conley Hills Elementary School,Fulton County,13121,30344,East Point,10,612,1,16,366,215,0,4
1300120,CONNALLY ELEMENTARY SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304020,CONNIE DUGAN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,727,299,158,46,345,615,NA,130402000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Connie Dugan Elementary School,Paulding County,13223,30134,Douglasville,46,691,0,384,202,55,4,0
1300120,CONTINENTAL COLONY ELEMENTARY SCHOOL,Georgia,11-City: Large,452,452,163,0,452,357,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Continental Colony Elementary School,Fulton County,13121,30331,Atlanta,3,451,0,0,440,7,1,0
1304410,CONYERS MIDDLE SCHOOL,Georgia,21-Suburb: Large,939,692,232,87,779,939,NA,130441000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Conyers Middle School,Rockdale County,13247,30012,Conyers,30,1023,5,107,694,176,10,1
1301470,COOK COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,719,605,306,0,605,719,NA,130147000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Cook County Middle School,Cook County,13075,31647,Sparks,20,724,0,377,251,64,11,1
1301470,COOK ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,736,619,392,0,619,736,NA,130147000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,3rd Grade,Cook Elementary School,Cook County,13075,31647,Sparks,22,730,1,365,252,85,5,0
1301470,COOK HIGH SCHOOL,Georgia,41-Rural: Fringe,909,456,307,56,512,NA,909,130147000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Cook High School,Cook County,13075,31620,Adel,30,861,1,452,291,71,15,1
1301470,COOK PRIMARY SCHOOL,Georgia,41-Rural: Fringe,845,845,306,0,845,473,NA,130147000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2nd Grade,Prekindergarten,Cook Primary School,Cook County,13075,31620,Adel,34,819,0,427,263,89,4,2
1302550,COOPER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1423,427,208,98,525,1203,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cooper Elementary School,Gwinnett County,13135,30052,Loganville,77,1481,2,502,662,206,31,1
1301290,COOPER MIDDLE SCHOOL,Georgia,21-Suburb: Large,1033,616,263,124,740,1033,NA,130129000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Cooper Middle School,Cobb County,13067,30106,Austell,27,1057,1,80,722,212,15,0
1304860,COOPER-CARVER ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,683,135,505,0,135,513,NA,130486000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Cooper-Carver Elementary School,Terrell County,13273,39842,Dawson,4,634,0,40,575,13,2,0
1302190,COOSA HIGH SCHOOL,Georgia,41-Rural: Fringe,722,493,226,0,493,NA,722,130219000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Coosa High School,Floyd County,13115,30165,Rome,36,720,0,444,90,143,7,0
1302190,COOSA MIDDLE SCHOOL,Georgia,41-Rural: Fringe,569,389,234,0,389,569,NA,130219000000,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Coosa Middle School,Floyd County,13115,30165,Rome,29,593,0,372,56,130,4,2
1304380,COPELAND ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,508,489,319,0,489,383,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Copeland Elementary School,Richmond County,13245,30909,Augusta,13,543,22,38,437,29,4,0
1301740,CORALWOOD EDUCATION CENTER,Georgia,21-Suburb: Large,236,34,4,2,36,NA,NA,130174000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,Kindergarten,Prekindergarten,Coralwood Education Center,DeKalb County,13089,30033,Decatur,16,242,0,140,42,20,24,0
1300120,CORETTA SCOTT KING YOUNG WOMEN'S ACADEMY MIDDLE SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302550,CORLEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1298,1083,504,97,1180,1053,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Corley Elementary School,Gwinnett County,13135,30044,Lawrenceville,40,1208,1,35,321,768,37,6
1302580,CORNELIA ELEMENTARY SCHOOL,Georgia,32-Town: Distant,627,464,228,56,520,485,NA,130258000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cornelia Elementary School,Habersham County,13137,30531,Cornelia,21,538,0,141,31,326,17,2
1300120,CORRETTA SCOTT KING WOMENS' LEADERSHIP ACADEMY,Georgia,11-City: Large,364,364,200,0,364,167,197,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,6th Grade,Corretta Scott King Womens' Leadership Academy,Fulton County,13121,30318,Atlanta,3,350,1,0,329,17,0,0
1302820,COTTON INDIAN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,667,409,237,54,463,569,NA,130282000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cotton Indian Elementary School,Henry County,13151,30281,Stockbridge,35,666,0,179,326,109,17,0
1302550,COUCH MIDDLE SCHOOL,Georgia,21-Suburb: Large,1039,321,138,100,421,1039,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Couch Middle School,Gwinnett County,13135,30017,Grayson,52,1058,3,277,473,174,78,1
1300290,COUNTY LINE ELEMENTARY SCHOOL,Georgia,31-Town: Fringe,568,319,290,43,362,445,NA,130029000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,County Line Elementary School,Barrow County,13013,30680,Winder,35,570,0,354,37,105,37,2
1303930,COUSINS MIDDLE SCHOOL,Georgia,21-Suburb: Large,830,494,331,69,563,830,NA,130393000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Cousins Middle School,Newton County,13217,30014,Covington,38,841,0,302,394,91,13,3
1302520,COWAN ROAD ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,643,506,275,59,565,504,NA,130252000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cowan Road Elementary School,Spalding County,13255,30223,Griffin,39,573,0,150,308,66,6,4
1302520,COWAN ROAD MIDDLE SCHOOL,Georgia,41-Rural: Fringe,575,458,262,60,518,575,NA,130252000000,5-Title I schoolwide school,Yes under Provision 2,8th Grade,6th Grade,Cowan Road Middle School,Spalding County,13255,30223,Griffin,31,611,0,176,330,71,2,1
1300222,COWETA CHARTER ACADEMY,Georgia,41-Rural: Fringe,724,101,26,30,131,621,NA,130022000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Coweta Charter Academy,Coweta County,13077,30276,Senoia,33,780,6,553,130,47,8,3
1301380,COX ELEMENTARY SCHOOL,Georgia,32-Town: Distant,631,600,420,0,600,469,NA,130138000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Cox Elementary School,Colquitt County,13071,31768,Moultrie,18,594,0,41,274,261,0,0
1302280,CRABAPPLE CROSSING ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,780,19,4,11,30,666,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Crabapple Crossing Elementary School,Fulton County,13121,30004,Alpharetta,41,774,0,509,27,56,141,0
1302130,CRABAPPLE LANE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,601,77,51,13,90,485,NA,130213000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Crabapple Lane Elementary School,Fayette County,13113,30269,Peachtree City,46,612,0,390,95,49,32,0
1302280,CRABAPPLE MIDDLE SCHOOL,Georgia,13-City: Small,959,116,57,19,135,959,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Crabapple Middle School,Fulton County,13121,30075,Roswell,32,932,1,644,137,87,26,5
1302550,CRAIG ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1026,268,135,78,346,881,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Craig Elementary School,Gwinnett County,13135,30044,Lawrenceville,37,1014,2,388,262,165,156,4
1304380,CRAIG-HOUGHTON ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,386,372,291,0,372,275,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301530,CRAWFORD COUNTY ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,852,802,384,0,802,662,NA,130153000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Crawford County Elementary School,Crawford County,13079,31078,Roberta,56,842,0,566,186,31,2,1
1301530,CRAWFORD COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,470,442,172,0,442,NA,470,130153000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Crawford County High School,Crawford County,13079,31078,Roberta,21,476,0,327,109,17,1,1
1301530,CRAWFORD COUNTY MIDDLE SCHOOL,Georgia,42-Rural: Distant,383,360,152,0,360,383,NA,130153000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Crawford County Middle School,Crawford County,13079,31078,Roberta,13,413,0,299,83,17,1,0
1302280,CREEK VIEW ELEMENTARY SCHOOL,Georgia,13-City: Small,900,50,17,12,62,756,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Creek View Elementary School,Fulton County,13121,30005,Alpharetta,49,924,1,243,68,75,487,1
1302550,CREEKLAND MIDDLE SCHOOL,Georgia,21-Suburb: Large,2097,816,387,215,1031,2097,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Creekland Middle School,Gwinnett County,13135,30043,Lawrenceville,96,2000,1,431,635,594,242,1
1301110,CREEKLAND MIDDLE SCHOOL,Georgia,41-Rural: Fringe,1546,232,98,30,262,1546,NA,130111000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Creekland Middle School,Cherokee County,13057,30115,Canton,34,1539,0,1324,33,136,11,1
1300210,CREEKSIDE ELEMENTARY SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130021000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302280,CREEKSIDE HIGH SCHOOL,Georgia,21-Suburb: Large,1720,1074,623,126,1200,NA,1720,130228000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Creekside High School,Fulton County,13121,30213,Fairburn,25,1787,0,16,1598,138,5,5
1302700,CREEKSIDE SCHOOL,Georgia,42-Rural: Distant,786,224,99,57,281,786,NA,130270000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,6th Grade,5th Grade,Creekside School,Harris County,13145,31804,Cataula,39,835,0,620,126,42,7,1
1301110,CREEKVIEW HIGH SCHOOL,Georgia,41-Rural: Fringe,2005,253,120,40,293,NA,2005,130111000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Creekview High School,Cherokee County,13057,30115,Canton,39,1996,0,1728,52,156,20,1
1302520,CRESCENT ROAD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,426,166,81,34,200,330,NA,130252000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Crescent Road Elementary School,Spalding County,13255,30224,Griffin,16,430,0,303,77,26,6,2
1302550,CREWS MIDDLE SCHOOL,Georgia,21-Suburb: Large,1376,321,166,92,413,1376,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Crews Middle School,Gwinnett County,13135,30044,Lawrenceville,72,1402,0,471,432,166,258,3
1300120,CRIM HIGH SCHOOL,Georgia,11-City: Large,125,125,122,0,125,NA,125,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Crim High School,DeKalb County,13089,30317,Atlanta,1,207,0,2,196,8,0,0
1301560,CRISP COUNTY ELEMENTARY SCHOOL,Georgia,32-Town: Distant,659,642,399,0,642,659,NA,130156000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,4th Grade,Crisp County Elementary School,Crisp County,13081,31015,Cordele,16,635,0,182,391,34,12,0
1301560,CRISP COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,1107,1078,543,0,1078,NA,1107,130156000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Crisp County High School,Crisp County,13081,31015,Cordele,22,1076,0,394,590,45,24,1
1301560,CRISP COUNTY MIDDLE SCHOOL,Georgia,32-Town: Distant,870,847,513,0,847,870,NA,130156000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Crisp County Middle School,Crisp County,13081,31015,Cordele,25,891,0,273,530,50,11,2
1301560,CRISP COUNTY PRE-K,Georgia,32-Town: Distant,260,253,3,0,253,NA,NA,130156000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Prekindergarten,Prekindergarten,Crisp County Pre-K,Crisp County,13081,31015,Cordele,13,234,0,63,146,9,3,0
1301560,CRISP COUNTY PRIMARY SCHOOL,GEORGIA,41-Rural: Fringe,1186,1155,724,0,1155,911,NA,130156000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),3rd Grade,Kindergarten,Crisp County Primary School,Crisp County,13081,31015,Cordele,43,1115,0,350,636,68,12,6
1300026,CRISP RYDC,Georgia,41-Rural: Fringe,11,.,3,.,3,5,6,130003000000,5-Title I schoolwide school,No,10th Grade,7th Grade,Crisp RYDC,Crisp County,13081,31015,Cordele,0,12,0,1,10,0,0,1
1300780,CROOKED RIVER ELEMENTARY SCHOOL,Georgia,32-Town: Distant,582,206,115,78,284,449,NA,130078000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Crooked River Elementary School,Camden County,13039,31558,Saint Marys,46,580,0,340,109,77,6,2
1304890,CROSS CREEK ELEMENTARY SCHOOL,Georgia,32-Town: Distant,861,775,473,0,775,861,NA,130489000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),4th Grade,3rd Grade,Cross Creek Elementary School,Thomas County,13275,31757,Thomasville,37,858,0,445,313,54,5,4
1304380,CROSS CREEK HIGH SCHOOL,Georgia,41-Rural: Fringe,1256,1210,527,0,1210,NA,1256,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Cross Creek High School,Richmond County,13245,30906,Augusta,39,1168,6,289,778,52,3,1
1301740,CROSS KEYS HIGH SCHOOL,Georgia,21-Suburb: Large,1529,1129,488,41,1170,NA,1529,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Cross Keys High School,DeKalb County,13089,30319,Brookhaven,1,1530,0,11,60,1366,86,6
1302040,CROSSROADS ALTERNATIVE,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130204000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303930,CROSSROADS PSYCHODEUCATIONAL PROGRAM,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130393000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302220,CUMMING ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,978,557,283,59,616,794,NA,130222000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cumming Elementary School,Forsyth County,13117,30040,Cumming,15,953,0,366,34,523,9,6
1303870,CUSSETA ROAD ELEMENTARY SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130387000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301770,DAC (DODGE COUNTY ACHIEVEMENT CENTER),GEORGIA,32-Town: Distant,41,36,17,0,36,5,36,130177000000,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),12th Grade,7th Grade,DAC (Dodge County Achievement Center),Dodge County,13091,31023,Eastman,3,43,0,24,15,0,0,1
1302550,DACULA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1181,438,215,91,529,976,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Dacula Elementary School,Gwinnett County,13135,30019,Dacula,72,1124,1,461,299,239,51,1
1302550,DACULA HIGH SCHOOL,Georgia,21-Suburb: Large,2121,769,343,185,954,NA,2121,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Dacula High School,Gwinnett County,13135,30019,Dacula,86,2224,1,630,928,494,80,5
1302550,DACULA MIDDLE SCHOOL,Georgia,21-Suburb: Large,1644,682,321,136,818,1644,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Dacula Middle School,Gwinnett County,13135,30019,Dacula,69,1691,2,433,719,395,71,2
1301590,DADE COUNTY HIGH SCHOOL,Georgia,31-Town: Fringe,572,236,134,51,287,NA,572,130159000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Dade County High School,Dade County,13083,30752,Trenton,7,605,0,580,7,8,2,1
1301590,DADE ELEMENTARY SCHOOL,Georgia,31-Town: Fringe,751,347,180,76,423,541,NA,130159000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Dade Elementary School,Dade County,13083,30752,Trenton,22,792,0,732,6,16,14,2
1301590,DADE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,490,215,134,75,290,490,NA,130159000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Dade Middle School,Dade County,13083,30752,Trenton,10,495,0,462,3,17,2,1
1304020,DALLAS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,426,286,152,48,334,365,NA,130402000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Dallas Elementary School,Paulding County,13223,30132,Dallas,33,451,1,151,214,50,1,1
1301620,DALTON HIGH SCHOOL,Georgia,13-City: Small,1901,1038,447,200,1238,NA,1901,130162000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Dalton High School,Whitfield County,13313,30720,Dalton,47,2067,0,468,103,1398,46,5
1301620,DALTON MIDDLE SCHOOL,Georgia,13-City: Small,1803,1225,618,197,1422,1803,NA,130162000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Dalton Middle School,Whitfield County,13313,30721,Dalton,53,1772,0,323,86,1267,42,1
1303150,DAMES FERRY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,647,243,137,26,269,492,NA,130315000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Dames Ferry Elementary School,Jones County,13169,31032,Gray,23,607,1,479,85,13,5,1
1303870,DANIEL MIDDLE ALTERNATIVE SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130387000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301290,DANIELL MIDDLE SCHOOL,Georgia,21-Suburb: Large,1064,393,147,87,480,1064,NA,130129000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Daniell Middle School,Cobb County,13067,30066,Marietta,62,1073,1,350,320,255,83,2
1303480,DANIELSVILLE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,463,236,117,56,292,361,NA,130348000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Danielsville Elementary School,Madison County,13195,30633,Danielsville,28,476,0,411,8,27,2,0
1302220,DAVES CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1184,27,16,7,34,992,NA,130222000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Daves Creek Elementary School,Forsyth County,13117,30041,Cumming,22,1212,1,200,35,42,897,15
1302880,DAVID A. PERDUE PRIMARY,Georgia,13-City: Small,751,233,121,77,310,417,NA,130288000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,2nd Grade,Prekindergarten,David A. Perdue Primary,Houston County,13153,31088,Warner Robins,73,757,1,363,228,72,20,0
1300780,DAVID L RAINER ELEMENTARY SCHOOL,Georgia,32-Town: Distant,450,217,152,47,264,361,NA,130078000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,David L Rainer Elementary School,Camden County,13039,31548,Kingsland,41,456,1,279,96,34,5,0
1304380,DAVIDSON MAGNET SCHOOL,Georgia,12-City: Mid-size,808,779,144,0,779,380,428,130438000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),12th Grade,6th Grade,Davidson Magnet School,Richmond County,13245,30901,Augusta,26,826,5,375,353,34,33,0
1303870,DAVIS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,381,359,275,0,359,256,NA,130387000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Davis Elementary School,Muscogee County,13215,31906,Columbus,10,401,0,15,359,15,0,2
1301290,DAVIS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,572,43,9,7,50,475,NA,130129000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Davis Elementary School,Cobb County,13067,30066,Marietta,19,610,0,457,35,47,51,1
1301590,DAVIS ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,332,178,108,39,217,235,NA,130159000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Davis Elementary School,Dade County,13083,30752,Trenton,5,286,0,270,0,6,2,3
1305700,DAWNVILLE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,495,331,56,71,402,380,NA,130570000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Dawnville Elementary School,Whitfield County,13313,30721,Dalton,7,489,0,202,11,263,5,1
1301650,DAWSON COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,785,184,60,79,263,NA,785,130165000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,10th Grade,Dawson County High School,Dawson County,13085,30534,Dawsonville,6,790,0,707,5,66,4,2
1301650,DAWSON COUNTY JUNIOR HIGH,Georgia,41-Rural: Fringe,567,189,79,41,230,305,262,130165000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,9th Grade,8th Grade,Dawson County Junior High,Dawson County,13085,30534,Dawsonville,9,576,0,504,3,56,3,1
1301650,DAWSON COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,525,179,72,64,243,525,NA,130165000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,7th Grade,6th Grade,Dawson County Middle School,Dawson County,13085,30534,Dawsonville,11,542,0,463,3,57,5,3
1303870,DAWSON ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,268,253,184,0,253,219,NA,130387000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Dawson Elementary School,Muscogee County,13215,31907,Columbus,15,336,1,3,306,11,0,0
1301110,DEAN RUSK MIDDLE SCHOOL,Georgia,41-Rural: Fringe,1520,310,143,72,382,1520,NA,130111000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Dean Rusk Middle School,Cherokee County,13057,30115,Canton,60,1543,2,1133,99,223,23,3
1303570,DEARING ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,519,322,230,64,386,413,NA,130357000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Dearing Elementary School,McDuffie County,13189,30808,Dearing,34,478,0,278,112,53,0,1
1301680,DECATUR HIGH SCHOOL,Georgia,21-Suburb: Large,1339,200,157,33,233,NA,1339,130168000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Decatur High School,DeKalb County,13089,30030,Decatur,77,1456,3,860,380,82,52,2
1304380,DEER CHASE ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,550,530,291,0,530,447,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Deer Chase Elementary School,Richmond County,13245,30815,Hephzibah,7,514,2,12,480,8,5,0
1300120,DEERWOOD ACADEMY SCHOOL,Georgia,11-City: Large,703,703,220,0,703,563,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Deerwood Academy School,Fulton County,13121,30331,Atlanta,5,677,1,3,652,16,0,0
1301740,DEKALB ACADEMY OF TECHNOLOGY AND THE ENVIRONMENT CHARTER SC,Georgia,21-Suburb: Large,696,362,204,68,430,635,NA,130174000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,DeKalb Academy of Technology and the Environment Charter Sc,DeKalb County,13089,30083,Stone Mountain,12,725,0,1,651,54,7,0
1301740,DEKALB ALTERNATIVE SCHOOL,Georgia,21-Suburb: Large,151,132,89,6,138,47,104,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,6th Grade,DeKalb Alternative School,DeKalb County,13089,30083,Stone Mountain,2,161,0,7,135,13,4,0
