,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
379,CENTRALHATCHEE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,196,192.0,198.0,197.0,195,85,102,101,119,105,59,57.0,64,10,9,17,15,17,95,111.0,118,134,122,133,144.0,150.0,136.0,134,,,,,,130279000000.0,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Centralhatchee Elementary School,Heard County,13149.0,30217.0,Franklin,8,8,196,195.0,0,0,180,173,5,12,3,1,0,1,0,0,1302790.0
380,CHALKER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,681,620.0,614.0,639.0,668,157,166,174,171,184,69,79.0,80,31,42,35,32,36,188,208.0,209,203,220,542,528.0,533.0,552.0,556,,,,,,130129000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chalker Elementary School,Cobb County,13067.0,30144.0,Kennesaw,47,36,681,668.0,0,0,326,349,162,134,108,99,38,48,0,2,1301290.0
381,CHAMBLEE CHARTER HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1731,1664.0,1651.0,1377.0,1309,553,575,546,413,425,219,228.0,217,52,56,62,68,65,605,631.0,608,481,490,,,,,,1731,1664.0,1651.0,1377.0,1309,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chamblee Charter High School,DeKalb County,13089.0,30341.0,Chamblee,46,46,1731,1309.0,0,1,542,368,424,549,487,188,225,154,7,3,1301740.0
382,CHAMBLEE MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,969,957.0,964.0,937.0,890,241,225,262,262,277,108,103.0,123,16,23,23,36,21,257,248.0,285,298,298,959,957.0,964.0,937.0,890,,,,,,130174000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chamblee Middle School,DeKalb County,13089.0,30341.0,Chamblee,45,23,969,890.0,2,0,409,368,223,220,180,168,106,105,4,6,1301740.0
383,CHAPEL HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,640,620.0,631.0,640.0,632,640,620,631,511,538,316,328.0,327,0,0,0,19,37,640,620.0,631,530,575,523,540.0,530.0,534.0,508,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chapel Hill Elementary School,DeKalb County,13089.0,30034.0,Decatur,15,8,640,632.0,0,0,4,3,600,604,15,16,2,1,4,0,1301740.0
384,CHAPEL HILL ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,804,754.0,701.0,674.0,709,376,344,321,291,307,207,174.0,157,70,49,55,60,55,446,393.0,376,351,362,694,645.0,603.0,586.0,611,,,,,,130186000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Chapel Hill Elementary School,Douglas County,13097.0,30135.0,Douglasville,59,41,804,709.0,0,2,144,200,491,381,87,75,22,9,1,1,1301860.0
385,CHAPEL HILL HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1445,1417.0,1433.0,1374.0,1253,471,500,503,484,439,211,242.0,230,154,107,112,113,104,625,607.0,615,597,543,,,,,,1445,1417.0,1433.0,1374.0,1253,130186000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chapel Hill High School,Douglas County,13097.0,30135.0,Douglasville,71,56,1445,1253.0,2,2,354,434,828,648,164,99,26,14,0,0,1301860.0
386,CHAPEL HILL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,837,775.0,759.0,777.0,854,594,575,567,551,621,343,352.0,344,69,54,42,50,62,663,629.0,609,601,683,827,775.0,759.0,777.0,854,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chapel Hill Middle School,DeKalb County,13089.0,30034.0,Decatur,14,7,837,854.0,4,3,6,5,792,828,12,9,8,2,1,0,1301740.0
387,CHAPEL HILL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1187,1181.0,1112.0,1094.0,1105,480,524,447,413,405,220,265.0,563,123,106,112,93,99,603,630.0,559,506,504,1177,1181.0,1112.0,1094.0,1105,,,,,,130186000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chapel Hill Middle School,Douglas County,13097.0,30135.0,Douglasville,87,40,1187,1105.0,3,6,204,304,733,652,139,84,19,18,2,1,1301860.0
388,CHARLES DREW CHARTER SCHOOL JA/SA,GEORGIA,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,833,766.0,755.0,691.0,567,358,354,602,551,308,190,228.0,219,80,56,0,0,66,438,410.0,602,551,374,392,385.0,386.0,385.0,367,431,381.0,369.0,306.0,200,130012000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,6th Grade,Charles Drew Charter School JA/SA,DeKalb County,13089.0,30317.0,Atlanta,30,10,833,567.0,2,0,71,6,699,536,22,12,9,3,0,0,1300120.0
389,CHARLES R. DREW CHARTER SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,994,991.0,1014.0,1023.0,979,295,352,371,426,421,157,211.0,241,80,89,60,82,78,375,441.0,431,508,499,751,748.0,766.0,769.0,720,,,,,,130012000000.0,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Charles R. Drew Charter School,DeKalb County,13089.0,30317.0,Atlanta,50,44,994,979.0,3,0,270,169,633,739,29,20,8,7,1,0,1300120.0
390,CHARLES R. DREW HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1555,1546.0,1620.0,1593.0,1565,1445,1538,1612,1585,1495,465,719.0,822,0,0,0,0,0,1445,1538.0,1612,1585,1495,,,,,,1555,1546.0,1620.0,1593.0,1565,130123000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Charles R. Drew High School,Clayton County,13063.0,30274.0,Riverdale,30,31,1555,1565.0,0,3,20,23,1028,1183,414,274,61,50,2,1,1301230.0
391,CHARLES SPENCER ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,376,581.0,627.0,582.0,521,362,560,595,551,493,157,285.0,464,0,0,0,0,0,362,560.0,595,551,493,310,581.0,627.0,582.0,521,,,,,,130498000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,Charles Spencer Elementary School,Tift County,13277.0,31794.0,Tifton,8,13,376,521.0,0,0,160,170,176,206,32,127,0,5,0,0,1304980.0
392,CHARLTON COUNTY HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,425,444.0,442.0,461.0,433,208,219,234,238,209,124,135.0,125,49,37,47,38,46,257,256.0,281,276,255,,,,,,425,444.0,442.0,461.0,433,130099000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Charlton County High School,Charlton County,13049.0,31537.0,Folkston,23,13,425,433.0,0,0,256,303,133,114,10,1,3,2,0,0,1300990.0
393,CHASE STREET ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,603,564.0,564.0,483.0,517,555,519,520,445,273,170,160.0,167,0,0,0,0,15,555,519.0,520,445,288,442,398.0,393.0,353.0,361,,,,,,130117000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chase Street Elementary School,Clarke County,13059.0,30601.0,Athens,24,20,603,517.0,1,0,329,250,201,187,41,53,6,7,1,0,1301170.0
394,CHATSWORTH ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,774,806.0,824.0,816.0,813,650,677,693,687,561,225,215.0,261,0,0,0,0,74,650,677.0,693,687,635,614,639.0,654.0,650.0,630,,,,,,130384000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,6th Grade,Prekindergarten,Chatsworth Elementary School,Murray County,13213.0,30705.0,Chatsworth,3,4,774,813.0,0,0,499,537,2,1,261,261,9,9,0,1,1303840.0
395,CHATTAHOOCHEE COUNTY EDUCATION CENTER,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,302,270.0,289.0,297.0,308,294,263,277,169,179,94,110.0,133,0,0,0,46,49,294,263.0,277,215,228,210,211.0,217.0,211.0,212,,,,,,130105000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,Chattahoochee County Education Center,Chattahoochee County,13053.0,31805.0,Cusseta,15,14,302,308.0,1,1,175,183,98,99,13,9,0,1,0,1,1301050.0
396,CHATTAHOOCHEE COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,450,422.0,417.0,458.0,463,127,148,169,189,166,36,50.0,56,78,80,87,97,116,205,228.0,256,286,282,,,,,,450,422.0,417.0,458.0,463,130105000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chattahoochee County High School,Chattahoochee County,13053.0,31805.0,Cusseta,39,24,450,463.0,6,6,238,222,88,134,75,70,2,5,2,2,1301050.0
397,CHATTAHOOCHEE COUNTY MIDDLE SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,166,153.0,141.0,129.0,134,129,119,92,86,82,44,49.0,59,0,0,21,16,32,129,119.0,113,102,114,156,153.0,141.0,129.0,134,,,,,,130105000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chattahoochee County Middle School,Chattahoochee County,13053.0,31805.0,Cusseta,10,2,166,134.0,1,0,96,77,46,48,12,7,1,0,0,0,1301050.0
398,CHATTAHOOCHEE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1420,1393.0,1399.0,1212.0,1248,474,536,523,436,474,141,224.0,203,155,127,138,94,103,629,663.0,661,530,577,1146,1171.0,1146.0,1009.0,1013,,,,,,130255000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chattahoochee Elementary School,Gwinnett County,13135.0,30097.0,Duluth,86,95,1420,1248.0,0,2,319,302,476,362,311,237,226,248,2,2,1302550.0
399,CHATTAHOOCHEE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,826,726.0,781.0,755.0,778,246,192,218,221,223,122,114.0,132,63,28,38,37,43,309,220.0,256,258,266,647,601.0,629.0,629.0,647,,,,,,130222000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chattahoochee Elementary School,Forsyth County,13117.0,30041.0,Cumming,30,22,826,778.0,0,1,567,571,19,11,198,154,9,13,3,6,1302220.0
400,CHATTAHOOCHEE HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1960,1966.0,1960.0,1953.0,1879,128,148,166,149,176,28,54.0,69,42,54,43,60,39,170,202.0,209,209,215,,,,,,1960,1966.0,1960.0,1953.0,1879,130228000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chattahoochee High School,Fulton County,13121.0,30022.0,Alpharetta,88,84,1960,1879.0,0,3,901,961,239,251,211,154,518,426,3,0,1302280.0
401,CHATTAHOOCHEE HILLS CHARTER SCHOOL,GEORGIA,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,524,468.0,457.0,364.0,292,139,152,116,137,95,80,68.0,62,31,45,49,49,47,170,197.0,165,186,142,469,420.0,397.0,308.0,225,,,,,,130228000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Chattahoochee Hills Charter School,Fulton County,13121.0,30213.0,Fairburn,11,6,524,292.0,0,0,33,69,446,210,30,4,3,3,1,0,1302280.0
402,CHATTANOOGA VALLEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,511,530.0,527.0,528.0,533,285,322,263,284,297,140,197.0,152,59,45,74,72,67,344,367.0,337,356,364,426,436.0,437.0,427.0,445,,,,,,130537000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chattanooga Valley Elementary School,Walker County,13295.0,30725.0,Flintstone,26,36,511,533.0,0,0,455,462,17,21,12,13,1,0,0,1,1305370.0
403,CHATTANOOGA VALLEY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,506,497.0,504.0,505.0,495,283,282,271,264,282,150,178.0,149,61,54,67,95,73,344,336.0,338,359,355,496,497.0,504.0,505.0,495,,,,,,130537000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chattanooga Valley Middle School,Walker County,13295.0,30725.0,Flintstone,24,30,506,495.0,0,0,446,419,21,34,11,8,1,3,3,1,1305370.0
404,CHATTOOGA ACADEMY,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,70,76.0,89.0,76.0,69,5,57,82,58,60,25,41.0,34,2,2,4,4,5,7,59.0,86,62,65,12,16.0,16.0,18.0,19,54,60.0,73.0,58.0,50,130108000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,3rd Grade,Chattooga Academy,Chattooga County,13055.0,30747.0,Summerville,4,4,70,69.0,0,0,58,56,5,8,2,1,1,0,0,0,1301080.0
405,CHATTOOGA HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,726,746.0,782.0,768.0,786,531,473,481,469,473,310,273.0,246,60,76,67,75,86,591,549.0,548,544,559,,,,,,726,746.0,782.0,768.0,786,130108000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chattooga High School,Chattooga County,13055.0,30747.0,Summerville,33,46,726,786.0,0,2,592,635,61,55,37,42,2,3,1,3,1301080.0
406,CHEATHAM HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1070,1106.0,1118.0,1088.0,1109,282,317,325,363,384,130,125.0,185,42,51,66,39,35,324,368.0,391,402,419,873,941.0,921.0,914.0,935,,,,,,130129000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cheatham Hill Elementary School,Cobb County,13067.0,30064.0,Marietta,51,57,1070,1109.0,0,2,506,496,249,260,217,256,47,37,0,1,1301290.0
407,CHEROKEE BLUFF HIGH SCHOOL,GEORGIA,41-Rural: Fringe,,,,,704,,,,,143,,,,,75,,,47,,,,,190,,,,,,,,,,704,,,,,130261000000.0,6-Not a Title I school,,,,,Yes participating without using any Provision or the CEO,,,,,12th Grade,9th Grade,Cherokee Bluff High School,Hall County,13139.0,30542.0,Flowery Branch,20,,704,,0,,454,,53,,166,,9,,2,,1302610.0
408,CHEROKEE BLUFF MIDDLE,GEORGIA,41-Rural: Fringe,,,,,672,,,,,168,,,,,81,,,41,,,,,209,,,,,662,,,,,,,,,,130261000000.0,6-Not a Title I school,,,,,Yes participating without using any Provision or the CEO,,,,,8th Grade,6th Grade,Cherokee Bluff Middle,Hall County,13139.0,30542.0,Flowery Branch,27,,672,,0,,442,,34,,164,,5,,0,,1302610.0
409,CHEROKEE CHARTER ACADEMY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,825,847.0,818.0,927.0,917,153,83,131,167,123,153,40.0,38,32,40,26,33,34,185,123.0,157,200,157,737,746.0,714.0,812.0,805,,,,,,130023000000.0,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Cherokee Charter Academy,Cherokee County,13057.0,30114.0,Canton,9,29,825,917.0,0,0,531,699,146,111,126,57,13,19,0,2,1300230.0
410,CHEROKEE ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,645,696.0,696.0,664.0,591,552,595,579,552,491,490,330.0,368,0,0,0,0,0,552,595.0,579,552,491,488,515.0,513.0,501.0,446,,,,,,130420000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Cherokee Elementary School,Polk County,13233.0,30125.0,Cedartown,37,25,645,591.0,0,0,304,252,45,57,248,249,11,8,0,0,1304200.0
