,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
24744,2017-2018,13,GEORGIA,GA,Kennesaw Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0404,130129000000.0,1300552,3155 Jiles Rd NW,,,Kennesaw,GA,30144,,3155 Jiles Rd NW,,,Kennesaw,GA,30144,,(678)594-8172,http://kennesawes.typepad.com/kes/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,2,Elementary,As reported
24745,2017-2018,13,GEORGIA,GA,Floyd Middle School,Cobb County,1,,GA-633,1301290,GA-633-5058,130129000000.0,1300553,4803 Floyd Rd SW,,,Mableton,GA,30126,,4803 Floyd Rd SW,,,Mableton,GA,30126,,(770)819-2453,http://www.cobbk12.org/Floyd/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24746,2017-2018,13,GEORGIA,GA,Due West Elementary School,Cobb County,1,,GA-633,1301290,GA-633-5056,130129000000.0,1300554,3900 Due West Rd NW,,,Marietta,GA,30064,,3900 Due West Rd NW,,,Marietta,GA,30064,,(678)594-8071,http://duewest.blogs.com/duewest/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24747,2017-2018,13,GEORGIA,GA,Brumby Elementary School,Cobb County,1,,GA-633,1301290,GA-633-5052,130129000000.0,1300555,1306 Powers Ferry Rd SE,,,Marietta,GA,30067,,1306 Powers Ferry Rd SE,,,Marietta,GA,30067,,(770)916-7070,http://www.cobbk12.org/Brumby/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24748,2017-2018,13,GEORGIA,GA,Bells Ferry Elementary School,Cobb County,1,,GA-633,1301290,GA-633-5050,130129000000.0,1300556,2600 Bells Ferry Rd,,,Marietta,GA,30066,,2600 Bells Ferry Rd,,,Marietta,GA,30066,,(678)594-8950,http://www.cobbk12.org/BellsFerry/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24749,2017-2018,13,GEORGIA,GA,Hollydale Elementary School,Cobb County,1,,GA-633,1301290,GA-633-4560,130129000000.0,1300557,2901 Bay Berry Dr SW,,,Marietta,GA,30008,,2901 Bay Berry Dr SW,,,Marietta,GA,30008,,(678)594-8143,http://www.cobbk12.org/Hollydale/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24750,2017-2018,13,GEORGIA,GA,Teasley Elementary School,Cobb County,1,,GA-633,1301290,GA-633-4068,130129000000.0,1300558,3640 Spring Hill Rd SE,,,Smyrna,GA,30080,,3640 Spring Hill Rd SE,,,Smyrna,GA,30080,,(770)437-5945,http://www.cobbk12.org/Teasley/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24751,2017-2018,13,GEORGIA,GA,Pebblebrook High School,Cobb County,1,,GA-633,1301290,GA-633-4066,130129000000.0,1300559,991 Old Alabama Rd SW,,,Mableton,GA,30126,,991 Old Alabama Rd SW,,,Mableton,GA,30126,,(770)819-2521,http://www.cobbk12.org/Pebblebrook/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24752,2017-2018,13,GEORGIA,GA,Mountain View Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0288,130129000000.0,1300560,3151 Sandy Plains Rd,,,Marietta,GA,30066,,3151 Sandy Plains Rd,,,Marietta,GA,30066,,(770)578-7265,http://www.cobbk12.org/MtView/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24753,2017-2018,13,GEORGIA,GA,Lindley Middle School,Cobb County,1,,GA-633,1301290,GA-633-0202,130129000000.0,1300561,50 Veterans Memorial Hwy SE,,,Mableton,GA,30126,,50 Veterans Memorial Hwy SE,,,Mableton,GA,30126,,(770)819-2496,http://www.cobbk12.org/Lindley/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24754,2017-2018,13,GEORGIA,GA,Daniell Middle School,Cobb County,1,,GA-633,1301290,GA-633-4056,130129000000.0,1300564,2900 Scott Rd,,,Marietta,GA,30066,,2900 Scott Rd,,,Marietta,GA,30066,,(678)594-8048,http://www.cobbk12.org/Daniell/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24755,2017-2018,13,GEORGIA,GA,Awtrey Middle School,Cobb County,1,,GA-633,1301290,GA-633-4050,130129000000.0,1300566,3601 Nowlin Rd NW,,,Kennesaw,GA,30144,,3601 Nowlin Rd NW,,,Kennesaw,GA,30144,,(770)975-6615,http://www.awtreyvikings.com/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24756,2017-2018,13,GEORGIA,GA,Compton Elementary School,Cobb County,1,,GA-633,1301290,GA-633-3556,130129000000.0,1300567,3450 New Macland Rd,,,Powder Springs,GA,30127,,3450 New Macland Rd,,,Powder Springs,GA,30127,,(770)222-3700,http://www.comptonblogs.typepad.com/compton/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,As reported
24757,2017-2018,13,GEORGIA,GA,Russell Elementary School,Cobb County,1,,GA-633,1301290,GA-633-3067,130129000000.0,1300568,3920 S Hurt Rd SW,,,Smyrna,GA,30082,,3920 S Hurt Rd SW,,,Smyrna,GA,30082,,(770)437-5937,http://www.cobbk12.org/Russell/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24758,2017-2018,13,GEORGIA,GA,LaBelle Elementary School,Cobb County,1,,GA-633,1301290,GA-633-3062,130129000000.0,1300571,230 Cresson Dr SW,,,Marietta,GA,30060,,230 Cresson Dr SW,,,Marietta,GA,30060,,(678)842-6955,http://www.cobbk12.org/Labelle/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24759,2017-2018,13,GEORGIA,GA,Harmony-Leland Elementary School,Cobb County,1,,GA-633,1301290,GA-633-3060,130129000000.0,1300572,5891 Dodgen Rd SW,,,Mableton,GA,30126,,5891 Dodgen Rd SW,,,Mableton,GA,30126,,(770)819-2483,http://www.cobbk12.org/HarmonyLeland/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24760,2017-2018,13,GEORGIA,GA,Fair Oaks Elementary School,Cobb County,1,,GA-633,1301290,GA-633-3058,130129000000.0,1300573,407 Barber Rd SE,,,Marietta,GA,30060,,407 Barber Rd SE,,,Marietta,GA,30060,,(678)594-8080,http://www.cobbk12.org/FairOaks/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24761,2017-2018,13,GEORGIA,GA,South Cobb High School,Cobb County,1,,GA-633,1301290,GA-633-3056,130129000000.0,1300574,1920 Clay Rd,,,Austell,GA,30106,,1920 Clay Rd,,,Austell,GA,30106,,(770)819-2611,http://www.cobbk12.org/southcobb/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24762,2017-2018,13,GEORGIA,GA,Vaughan Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0197,130129000000.0,1301479,5950 Nichols Rd,,,Powder Springs,GA,30127,,5950 Nichols Rd,,,Powder Springs,GA,30127,,(678)594-8298,http://www.cobbk12.org/Vaughan/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24763,2017-2018,13,GEORGIA,GA,Frey Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0297,130129000000.0,1301490,2865 Mars Hill Rd NW,,,Acworth,GA,30101,,2865 Mars Hill Rd NW,,,Acworth,GA,30101,,(770)975-6655,http://freyelementary.typepad.com/Frey/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24764,2017-2018,13,GEORGIA,GA,Green Acres Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0397,130129000000.0,1301491,2000 Gober Ave SE,,,Smyrna,GA,30080,,2000 Gober Ave SE,,,Smyrna,GA,30080,,(678)842-6905,http://www.cobbk12.org/GreenAcres/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24765,2017-2018,13,GEORGIA,GA,Dickerson Middle School,Cobb County,1,,GA-633,1301290,GA-633-0281,130129000000.0,1301880,855 Woodlawn Dr NE,,,Marietta,GA,30068,,855 Woodlawn Dr NE,,,Marietta,GA,30068,,(770)578-2710,http://www.cobbk12.org/Dickerson/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24766,2017-2018,13,GEORGIA,GA,Lassiter High School,Cobb County,1,,GA-633,1301290,GA-633-0381,130129000000.0,1301881,2601 Shallowford Rd,,,Marietta,GA,30066,,2601 Shallowford Rd,,,Marietta,GA,30066,,(678)494-7863,http://www.lassiterhigh.org/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24767,2017-2018,13,GEORGIA,GA,Tritt Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0181,130129000000.0,1301882,4435 Post Oak Tritt Rd,,,Marietta,GA,30062,,4435 Post Oak Tritt Rd,,,Marietta,GA,30062,,(770)642-5630,http://www.cobbk12.org/Tritt/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24768,2017-2018,13,GEORGIA,GA,McCleskey Middle School,Cobb County,1,,GA-633,1301290,GA-633-0184,130129000000.0,1301926,4080 Maybreeze Rd,,,Marietta,GA,30066,,4080 Maybreeze Rd,,,Marietta,GA,30066,,(770)928-5560,http://www.cobbk12.org/McCleskey/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24769,2017-2018,13,GEORGIA,GA,Garrison Mill Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0185,130129000000.0,1301935,4111 Wesley Chapel Rd,,,Marietta,GA,30062,,4111 Wesley Chapel Rd,,,Marietta,GA,30062,,(770)642-5600,http://www.cobbk12.org/GarrisonMill/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24770,2017-2018,13,GEORGIA,GA,Keheley Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0187,130129000000.0,1301972,1985 Kemp Rd,,,Marietta,GA,30066,,1985 Kemp Rd,,,Marietta,GA,30066,,(678)494-7836,http://www.cobbk12.org/Keheley/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,As reported
24771,2017-2018,13,GEORGIA,GA,Lewis Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0287,130129000000.0,1301973,4179 Jim Owens Rd NW,,,Kennesaw,GA,30152,,4179 Jim Owens Rd NW,,,Kennesaw,GA,30152,,(770)975-6673,http://www.cobbk12.org/Lewis/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24772,2017-2018,13,GEORGIA,GA,Milford Elementary School,Cobb County,1,,GA-633,1301290,GA-633-3064,130129000000.0,1301974,2390 Austell Rd SW,,,Marietta,GA,30008,,2390 Austell Rd SW,,,Marietta,GA,30008,,(678)842-6966,http://www.cobbk12.org/Milford/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24773,2017-2018,13,GEORGIA,GA,Pope High School,Cobb County,1,,GA-633,1301290,GA-633-0188,130129000000.0,1301994,3001 Hembree Rd NE,,,Marietta,GA,30062,,3001 Hembree Rd NE,,,Marietta,GA,30062,,(770)578-7900,http://www.cobbk12.org/Pope/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24774,2017-2018,13,GEORGIA,GA,Davis Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0388,130129000000.0,1301995,2433 Jamerson Rd,,,Marietta,GA,30066,,2433 Jamerson Rd,,,Marietta,GA,30066,,(678)494-7636,http://www.cobbk12.org/Davis/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24775,2017-2018,13,GEORGIA,GA,Baker Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0189,130129000000.0,1302021,2361 Baker Rd NW,,,Acworth,GA,30101,,2361 Baker Rd NW,,,Acworth,GA,30101,,(770)975-6629,http://www.cobbk12.org/Baker/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24776,2017-2018,13,GEORGIA,GA,Addison Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0289,130129000000.0,1302022,3055 Ebenezer Rd,,,Marietta,GA,30066,,3055 Ebenezer Rd,,,Marietta,GA,30066,,(770)578-2700,http://www.cobbk12.org/Addison/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24777,2017-2018,13,GEORGIA,GA,Simpson Middle School,Cobb County,1,,GA-633,1301290,GA-633-0389,130129000000.0,1302023,3340 Trickum Rd NE,,,Marietta,GA,30066,,3340 Trickum Rd NE,,,Marietta,GA,30066,,(770)971-4711,http://www.cobbk12.org/Simpson/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24778,2017-2018,13,GEORGIA,GA,Powder Springs Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0489,130129000000.0,1302024,4570 Grady Grier Dr,,,Powder Springs,GA,30127,,4570 Grady Grier Dr,,,Powder Springs,GA,30127,,(770)222-3746,http://www.cobbk12.org/PowderSprings/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24779,2017-2018,13,GEORGIA,GA,Chalker Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0198,130129000000.0,1302058,325 N Booth Rd NW,,,Kennesaw,GA,30144,,325 N Booth Rd NW,,,Kennesaw,GA,30144,,(678)494-7621,http://www.cobbk12.org/Chalker/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24780,2017-2018,13,GEORGIA,GA,Dowell Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0190,130129000000.0,1302069,2121 W Sandtown Rd SW,,,Marietta,GA,30064,,2121 W Sandtown Rd SW,,,Marietta,GA,30064,,(678)594-8059,http://www.cobbk12.org/Dowell/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24781,2017-2018,13,GEORGIA,GA,Campbell Middle School,Cobb County,1,,GA-633,1301290,GA-633-0290,130129000000.0,1302070,3295 South Atlanta Road,,,Smyrna,GA,30080,,3295 Atlanta Rd SE,,,Smyrna,GA,30080,,(678)842-6873,http://www.cobbk12.org/CampbellMS/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24782,2017-2018,13,GEORGIA,GA,Varner Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0191,130129000000.0,1302107,4761 Gaydon Rd,,,Powder Springs,GA,30127,,4761 Gaydon Rd,,,Powder Springs,GA,30127,,(770)222-3775,http://www.cobbk12.org/Varner/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24783,2017-2018,13,GEORGIA,GA,Shallowford Falls Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0291,130129000000.0,1302108,3529 Lassiter Rd,,,Marietta,GA,30062,,3529 Lassiter Rd,,,Marietta,GA,30062,,(770)642-5610,http://www.shallowfordfalls.typepad.com/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24784,2017-2018,13,GEORGIA,GA,Nicholson Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0391,130129000000.0,1302109,1599 Shallowford Rd,,,Marietta,GA,30066,,1599 Shallowford Rd,,,Marietta,GA,30066,,(770)928-5573,http://www.cobbk12.org/Nicholson/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24785,2017-2018,13,GEORGIA,GA,Timber Ridge Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0491,130129000000.0,1302110,5000 Timber Ridge Rd,,,Marietta,GA,30068,,5000 Timber Ridge Rd,,,Marietta,GA,30068,,(770)642-5621,http://www.timberridge.typepad.com/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24786,2017-2018,13,GEORGIA,GA,Cheatham Hill Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0298,130129000000.0,1302138,1350 John Ward Rd SW,,,Marietta,GA,30064,,1350 John Ward Rd SW,,,Marietta,GA,30064,,(678)594-8034,http://www.cobbk12.org/CheathamHill/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24787,2017-2018,13,GEORGIA,GA,Sanders Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0398,130129000000.0,1302150,1550 Anderson Mill Rd,,,Austell,GA,30106,,1550 Anderson Mill Rd,,,Austell,GA,30106,,(770)819-2568,http://www.cobbk12.org/Sanders/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24788,2017-2018,13,GEORGIA,GA,Harrison High School,Cobb County,1,,GA-633,1301290,GA-633-0192,130129000000.0,1302153,4500 Due West Rd NW,,,Kennesaw,GA,30152,,4500 Due West Rd NW,,,Kennesaw,GA,30152,,(678)594-8104,http://www.harrisonhigh.org/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24789,2017-2018,13,GEORGIA,GA,Ford Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0292,130129000000.0,1302154,1345 Mars Hill Rd NW,,,Acworth,GA,30101,,1345 Mars Hill Rd NW,,,Acworth,GA,30101,,(678)594-8092,http://www.cobbk12.org/Ford/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24790,2017-2018,13,GEORGIA,GA,Bryant Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0592,130129000000.0,1302158,6800 Factory Shoals Rd SW,,,Mableton,GA,30126,,6800 Factory Shoals Rd SW,,,Mableton,GA,30126,,(770)819-2402,http://www.cobbk12.org/Bryant/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24791,2017-2018,13,GEORGIA,GA,Nickajack Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0199,130129000000.0,1302247,4555 Mavell Rd SE,,,Smyrna,GA,30082,,4555 Mavell Rd SE,,,Smyrna,GA,30082,,(678)842-5814,http://www.cobbk12.org/Nickajack/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24792,2017-2018,13,GEORGIA,GA,Durham Middle School,Cobb County,1,,GA-633,1301290,GA-633-0299,130129000000.0,1302248,2891 Mars Hill Road. Northeast,,,Acworth,GA,30101,,2891 Mars Hill Rd NW,,,Acworth,GA,30101,,(770)975-6641,http://www.cobbk12.org/Durham/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24793,2017-2018,13,GEORGIA,GA,Blackwell Elementary School,Cobb County,1,,GA-633,1301290,GA-633-0399,130129000000.0,1302249,3470 Canton Rd,,,Marietta,GA,30066,,3470 Canton Rd,,,Marietta,GA,30066,,(678)494-7600,http://www.cobbk12.org/Blackwell/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24794,2017-2018,13,GEORGIA,GA,Lost Mountain Middle School,Cobb County,1,,GA-633,1301290,GA-633-0499,130129000000.0,1302250,700 Old Mountain Rd NW,,,Kennesaw,GA,30152,,700 Old Mountain Rd NW,,,Kennesaw,GA,30152,,(678)594-8224,http://www.cobbk12.org/LostMountain/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24795,2017-2018,13,GEORGIA,GA,Kennesaw Mountain High School,Cobb County,1,,GA-633,1301290,GA-633-0101,130129000000.0,1302365,1898 Kennesaw Due West Rd NW,,,Kennesaw,GA,30152,,1898 Kennesaw Due West Rd NW,,,Kennesaw,GA,30152,,(678)594-8190,http://www.cobbk12.org/KennesawMountain/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24796,2017-2018,13,GEORGIA,GA,Cooper Middle School,Cobb County,1,,GA-633,1301290,GA-633-0502,130129000000.0,1302475,4605 Ewing Rd,,,Austell,GA,30106,,4605 Ewing Rd,,,Austell,GA,30106,,(770)819-2438,http://www.cobbk12.org/Cooper/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24797,2017-2018,13,GEORGIA,GA,Palmer Middle School,Cobb County,1,,GA-633,1301290,GA-633-0602,130129000000.0,1302476,690 N Booth Rd NW,,,Kennesaw,GA,30144,,690 N Booth Rd NW,,,Kennesaw,GA,30144,,(770)591-5020,http://www.cobbk12.org/Palmer/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24798,2017-2018,13,GEORGIA,GA,Kell High School,Cobb County,1,,GA-633,1301290,GA-633-0103,130129000000.0,1302526,4770 Lee Waters Rd,,,Marietta,GA,30066,,4770 Lee Waters Rd,,,Marietta,GA,30066,,(678)494-7844,http://www.carltonjkellhighschool.com/,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
