School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
CENTRAL MIDDLE SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,953,878,834,823,877,415,388,415,403,469,270,204,267,73,70,53,86,84,488,458,468,489,553,943,878,834,823,877,NA,NA,NA,NA,NA,1.30084E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Central Middle School,Carroll County,13045,30116,Carrollton,48,55,953,877,0,0,713,660,99,106,91,54,1,2,1,0,1300840
CENTRALHATCHEE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,196,192,198,197,195,85,102,101,119,105,59,57,64,10,9,17,15,17,95,111,118,134,122,133,144,150,136,134,NA,NA,NA,NA,NA,1.30279E+11,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Centralhatchee Elementary School,Heard County,13149,30217,Franklin,8,8,196,195,0,0,180,173,5,12,3,1,0,1,0,0,1302790
CHALKER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,681,620,614,639,668,157,166,174,171,184,69,79,80,31,42,35,32,36,188,208,209,203,220,542,528,533,552,556,NA,NA,NA,NA,NA,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chalker Elementary School,Cobb County,13067,30144,Kennesaw,47,36,681,668,0,0,326,349,162,134,108,99,38,48,0,2,1301290
CHAMBLEE CHARTER HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1731,1664,1651,1377,1309,553,575,546,413,425,219,228,217,52,56,62,68,65,605,631,608,481,490,NA,NA,NA,NA,NA,1731,1664,1651,1377,1309,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chamblee Charter High School,DeKalb County,13089,30341,Chamblee,46,46,1731,1309,0,1,542,368,424,549,487,188,225,154,7,3,1301740
CHAMBLEE MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,969,957,964,937,890,241,225,262,262,277,108,103,123,16,23,23,36,21,257,248,285,298,298,959,957,964,937,890,NA,NA,NA,NA,NA,1.30174E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chamblee Middle School,DeKalb County,13089,30341,Chamblee,45,23,969,890,2,0,409,368,223,220,180,168,106,105,4,6,1301740
CHAPEL HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,640,620,631,640,632,640,620,631,511,538,316,328,327,0,0,0,19,37,640,620,631,530,575,523,540,530,534,508,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chapel Hill Elementary School,DeKalb County,13089,30034,Decatur,15,8,640,632,0,0,4,3,600,604,15,16,2,1,4,0,1301740
CHAPEL HILL ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,804,754,701,674,709,376,344,321,291,307,207,174,157,70,49,55,60,55,446,393,376,351,362,694,645,603,586,611,NA,NA,NA,NA,NA,1.30186E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Chapel Hill Elementary School,Douglas County,13097,30135,Douglasville,59,41,804,709,0,2,144,200,491,381,87,75,22,9,1,1,1301860
CHAPEL HILL HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1445,1417,1433,1374,1253,471,500,503,484,439,211,242,230,154,107,112,113,104,625,607,615,597,543,NA,NA,NA,NA,NA,1445,1417,1433,1374,1253,1.30186E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chapel Hill High School,Douglas County,13097,30135,Douglasville,71,56,1445,1253,2,2,354,434,828,648,164,99,26,14,0,0,1301860
CHAPEL HILL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,837,775,759,777,854,594,575,567,551,621,343,352,344,69,54,42,50,62,663,629,609,601,683,827,775,759,777,854,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chapel Hill Middle School,DeKalb County,13089,30034,Decatur,14,7,837,854,4,3,6,5,792,828,12,9,8,2,1,0,1301740
CHAPEL HILL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1187,1181,1112,1094,1105,480,524,447,413,405,220,265,563,123,106,112,93,99,603,630,559,506,504,1177,1181,1112,1094,1105,NA,NA,NA,NA,NA,1.30186E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chapel Hill Middle School,Douglas County,13097,30135,Douglasville,87,40,1187,1105,3,6,204,304,733,652,139,84,19,18,2,1,1301860
CHARLES DREW CHARTER SCHOOL JA/SA,GEORGIA,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,833,766,755,691,567,358,354,602,551,308,190,228,219,80,56,0,0,66,438,410,602,551,374,392,385,386,385,367,431,381,369,306,200,1.30012E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,6th Grade,Charles Drew Charter School JA/SA,DeKalb County,13089,30317,Atlanta,30,10,833,567,2,0,71,6,699,536,22,12,9,3,0,0,1300120
CHARLES R. DREW CHARTER SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,994,991,1014,1023,979,295,352,371,426,421,157,211,241,80,89,60,82,78,375,441,431,508,499,751,748,766,769,720,NA,NA,NA,NA,NA,1.30012E+11,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Charles R. Drew Charter School,DeKalb County,13089,30317,Atlanta,50,44,994,979,3,0,270,169,633,739,29,20,8,7,1,0,1300120
CHARLES R. DREW HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1555,1546,1620,1593,1565,1445,1538,1612,1585,1495,465,719,822,0,0,0,0,0,1445,1538,1612,1585,1495,NA,NA,NA,NA,NA,1555,1546,1620,1593,1565,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Charles R. Drew High School,Clayton County,13063,30274,Riverdale,30,31,1555,1565,0,3,20,23,1028,1183,414,274,61,50,2,1,1301230
CHARLES SPENCER ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,376,581,627,582,521,362,560,595,551,493,157,285,464,0,0,0,0,0,362,560,595,551,493,310,581,627,582,521,NA,NA,NA,NA,NA,1.30498E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,Charles Spencer Elementary School,Tift County,13277,31794,Tifton,8,13,376,521,0,0,160,170,176,206,32,127,0,5,0,0,1304980
CHARLTON COUNTY HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,425,444,442,461,433,208,219,234,238,209,124,135,125,49,37,47,38,46,257,256,281,276,255,NA,NA,NA,NA,NA,425,444,442,461,433,1.30099E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Charlton County High School,Charlton County,13049,31537,Folkston,23,13,425,433,0,0,256,303,133,114,10,1,3,2,0,0,1300990
CHASE STREET ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,603,564,564,483,517,555,519,520,445,273,170,160,167,0,0,0,0,15,555,519,520,445,288,442,398,393,353,361,NA,NA,NA,NA,NA,1.30117E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chase Street Elementary School,Clarke County,13059,30601,Athens,24,20,603,517,1,0,329,250,201,187,41,53,6,7,1,0,1301170
CHATSWORTH ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,774,806,824,816,813,650,677,693,687,561,225,215,261,0,0,0,0,74,650,677,693,687,635,614,639,654,650,630,NA,NA,NA,NA,NA,1.30384E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,6th Grade,Prekindergarten,Chatsworth Elementary School,Murray County,13213,30705,Chatsworth,3,4,774,813,0,0,499,537,2,1,261,261,9,9,0,1,1303840
CHATTAHOOCHEE COUNTY EDUCATION CENTER,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,302,270,289,297,308,294,263,277,169,179,94,110,133,0,0,0,46,49,294,263,277,215,228,210,211,217,211,212,NA,NA,NA,NA,NA,1.30105E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,Chattahoochee County Education Center,Chattahoochee County,13053,31805,Cusseta,15,14,302,308,1,1,175,183,98,99,13,9,0,1,0,1,1301050
CHATTAHOOCHEE COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,450,422,417,458,463,127,148,169,189,166,36,50,56,78,80,87,97,116,205,228,256,286,282,NA,NA,NA,NA,NA,450,422,417,458,463,1.30105E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chattahoochee County High School,Chattahoochee County,13053,31805,Cusseta,39,24,450,463,6,6,238,222,88,134,75,70,2,5,2,2,1301050
CHATTAHOOCHEE COUNTY MIDDLE SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,166,153,141,129,134,129,119,92,86,82,44,49,59,0,0,21,16,32,129,119,113,102,114,156,153,141,129,134,NA,NA,NA,NA,NA,1.30105E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chattahoochee County Middle School,Chattahoochee County,13053,31805,Cusseta,10,2,166,134,1,0,96,77,46,48,12,7,1,0,0,0,1301050
CHATTAHOOCHEE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1420,1393,1399,1212,1248,474,536,523,436,474,141,224,203,155,127,138,94,103,629,663,661,530,577,1146,1171,1146,1009,1013,NA,NA,NA,NA,NA,1.30255E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chattahoochee Elementary School,Gwinnett County,13135,30097,Duluth,86,95,1420,1248,0,2,319,302,476,362,311,237,226,248,2,2,1302550
CHATTAHOOCHEE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,826,726,781,755,778,246,192,218,221,223,122,114,132,63,28,38,37,43,309,220,256,258,266,647,601,629,629,647,NA,NA,NA,NA,NA,1.30222E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chattahoochee Elementary School,Forsyth County,13117,30041,Cumming,30,22,826,778,0,1,567,571,19,11,198,154,9,13,3,6,1302220
CHATTAHOOCHEE HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1960,1966,1960,1953,1879,128,148,166,149,176,28,54,69,42,54,43,60,39,170,202,209,209,215,NA,NA,NA,NA,NA,1960,1966,1960,1953,1879,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chattahoochee High School,Fulton County,13121,30022,Alpharetta,88,84,1960,1879,0,3,901,961,239,251,211,154,518,426,3,0,1302280
CHATTAHOOCHEE HILLS CHARTER SCHOOL,GEORGIA,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,524,468,457,364,292,139,152,116,137,95,80,68,62,31,45,49,49,47,170,197,165,186,142,469,420,397,308,225,NA,NA,NA,NA,NA,1.30228E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Chattahoochee Hills Charter School,Fulton County,13121,30213,Fairburn,11,6,524,292,0,0,33,69,446,210,30,4,3,3,1,0,1302280
CHATTANOOGA VALLEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,511,530,527,528,533,285,322,263,284,297,140,197,152,59,45,74,72,67,344,367,337,356,364,426,436,437,427,445,NA,NA,NA,NA,NA,1.30537E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chattanooga Valley Elementary School,Walker County,13295,30725,Flintstone,26,36,511,533,0,0,455,462,17,21,12,13,1,0,0,1,1305370
CHATTANOOGA VALLEY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,506,497,504,505,495,283,282,271,264,282,150,178,149,61,54,67,95,73,344,336,338,359,355,496,497,504,505,495,NA,NA,NA,NA,NA,1.30537E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chattanooga Valley Middle School,Walker County,13295,30725,Flintstone,24,30,506,495,0,0,446,419,21,34,11,8,1,3,3,1,1305370
CHATTOOGA ACADEMY,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,70,76,89,76,69,5,57,82,58,60,25,41,34,2,2,4,4,5,7,59,86,62,65,12,16,16,18,19,54,60,73,58,50,1.30108E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,3rd Grade,Chattooga Academy,Chattooga County,13055,30747,Summerville,4,4,70,69,0,0,58,56,5,8,2,1,1,0,0,0,1301080
CHATTOOGA HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,726,746,782,768,786,531,473,481,469,473,310,273,246,60,76,67,75,86,591,549,548,544,559,NA,NA,NA,NA,NA,726,746,782,768,786,1.30108E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chattooga High School,Chattooga County,13055,30747,Summerville,33,46,726,786,0,2,592,635,61,55,37,42,2,3,1,3,1301080
CHEATHAM HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1070,1106,1118,1088,1109,282,317,325,363,384,130,125,185,42,51,66,39,35,324,368,391,402,419,873,941,921,914,935,NA,NA,NA,NA,NA,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cheatham Hill Elementary School,Cobb County,13067,30064,Marietta,51,57,1070,1109,0,2,506,496,249,260,217,256,47,37,0,1,1301290
CHEROKEE BLUFF HIGH SCHOOL,GEORGIA,41-Rural: Fringe,NA,NA,NA,NA,704,NA,NA,NA,NA,143,NA,NA,NA,NA,75,NA,NA,47,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,NA,NA,NA,NA,1.30261E+11,6-Not a Title I school,NA,NA,NA,NA,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,12th Grade,9th Grade,Cherokee Bluff High School,Hall County,13139,30542,Flowery Branch,20,NA,704,NA,0,NA,454,NA,53,NA,166,NA,9,NA,2,NA,1302610
CHEROKEE BLUFF MIDDLE,GEORGIA,41-Rural: Fringe,NA,NA,NA,NA,672,NA,NA,NA,NA,168,NA,NA,NA,NA,81,NA,NA,41,NA,NA,NA,NA,209,NA,NA,NA,NA,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30261E+11,6-Not a Title I school,NA,NA,NA,NA,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,8th Grade,6th Grade,Cherokee Bluff Middle,Hall County,13139,30542,Flowery Branch,27,NA,672,NA,0,NA,442,NA,34,NA,164,NA,5,NA,0,NA,1302610
CHEROKEE CHARTER ACADEMY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,825,847,818,927,917,153,83,131,167,123,153,40,38,32,40,26,33,34,185,123,157,200,157,737,746,714,812,805,NA,NA,NA,NA,NA,1.30023E+11,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Cherokee Charter Academy,Cherokee County,13057,30114,Canton,9,29,825,917,0,0,531,699,146,111,126,57,13,19,0,2,1300230
CHEROKEE ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,645,696,696,664,591,552,595,579,552,491,490,330,368,0,0,0,0,0,552,595,579,552,491,488,515,513,501,446,NA,NA,NA,NA,NA,1.3042E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Cherokee Elementary School,Polk County,13233,30125,Cedartown,37,25,645,591,0,0,304,252,45,57,248,249,11,8,0,0,1304200
